gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
BAL202403280,rengl001,ANA,1,4,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,schan001,ANA,1,3,value,24,6,0,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,ohopl001,ANA,1,2,value,24,6,0,0,0,0,0,3,1,0,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,netoz001,ANA,1,6,value,24,0,4,0,0,0,,,,,1,20240328,0,BAL12,v,BAL,0,1,0,regular,y,y
BAL202403280,burnc002,BAL,1,1,value,18,0,0,0,0,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,baumm001,BAL,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,tated001,BAL,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,akink001,BAL,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,hendg002,BAL,1,6,value,27,0,4,0,1,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,rutsa001,BAL,1,2,value,27,13,1,0,0,0,0,0,0,0,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,mounr001,BAL,1,3,value,27,7,0,0,1,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,santa003,BAL,1,9,value,24,1,0,0,0,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,cowsc001,BAL,1,9,value,3,0,0,0,0,0,,,,,0,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,haysa001,BAL,1,7,value,27,1,0,0,0,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,mullc002,BAL,1,8,value,27,0,0,0,0,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,uriar001,BAL,1,5,value,27,0,0,0,0,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
BAL202403280,matej003,BAL,1,4,value,27,5,3,1,1,0,,,,,1,20240328,0,BAL12,h,ANA,1,0,0,regular,y,y
CHA202403280,skubt001,DET,1,1,value,18,0,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,mills001,DET,1,1,value,3,0,0,0,0,0,,,,,0,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,chafa001,DET,1,1,value,4,0,0,0,0,0,,,,,0,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,folej001,DET,1,1,value,2,0,0,0,0,0,,,,,0,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,ibana001,DET,1,5,value,21,0,2,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,urshg001,DET,1,5,value,6,0,1,0,0,0,,,,,0,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
CHA202403280,torks001,DET,1,3,value,27,6,0,0,0,0,,,,,1,20240328,0,CHI12,v,CHA,1,0,0,regular,y,y
